ID_Empresa;RazaoSocial;Total;
536;PCP Eng. e Montagens Ind. LTDA.;149;
67;Perenyi Serviços Tecnicos de Limpeza Ind. Ltda;0;
119;Petrobras S/A;0;
114;Petroleo Brasileiro S/A;0;
635;Petrolub Ind. de Lubrif. Ltda - (4ªvia  entregue);0;
69;Petrolub Industrial de Lubrificante Ltda;0;
19;Petrometal Engenharia Ltda;813;
20;Petroserv S.A.;730;
445;Petroserv S.A. -  Atlantic Zephyr;324;
55;Plastimassa Industria e Comercio Ltda;0;
77;Power Well Brasil Serv. Testes Geol. Ltda;842;
280;Pq Mat Bel ( * Encontra-se em Transito);0;
247;Pq. Material BÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±lico (* Enco;0;
444;PREFEITURA DE MACAÃ?;0;
2;Prestadora de Serviços Irmaos Ribeiro Lt;0;
549;Pride do Brasil LTDA.;19;
469;Pride do Brasil Serv. de Petr. Ltda - PORTLAND;78;
399;Pride do Brasil Serv. Petroeo Ltda - SS48;215;
368;Pride do Brasil Serv. Petroleo Ltda;920;
433;Pride do Brasil Serv. Petroleo Ltda - Ang dos Rei;3;
21;Pride do Brasil Serv. Petroleo Ltda - BASE;1173;
547;Pride do Brasil Serv. Petroleo Ltda - Base CT;12;
451;Pride do Brasil Serv. Petroleo Ltda - Base Varco;1;
556;Pride do Brasil Serv. Petroleo Ltda - DS04;3;
274;Pride do Brasil Serv. Petroleo Ltda - PPL SS-61;52;
474;Pride do Brasil Serv. Petroleo Ltda - PSE;33;
164;Pride do Brasil Serv. Petroleo Ltda - SS 47;1327;
174;Pride do Brasil Serv. Petroleo Ltda - SS 56;1260;
163;Pride do Brasil Serv. Petroleo Ltda - SS 57;821;
422;Pride do Brasil Serv. Petroleo Ltda - SS 66;447;
372;Pride do Brasil Serv. Petroleo Ltda - SS47 AR;22;
508;Pride do Brasil Serv. Petroleo Ltda - SS55;2;
397;Pride do Brasil Serv. Petroleo Ltda - SS60;106;
543;Pride do Brasil Serv. Petroleo Ltda - SS61;4;
514;Pride do Brasil Serv. Petroleo Ltda - Venezuela;14;
378;Pride do Brasil Serv. Petroleo Ltda SS60 Arra;43;
406;Puras Do Brasil Sociedade Anonima;372;
407;Puras Do Brasil Sociedade Anonima -  Flotel;2;
22;Q & B Serviços Ltda;190;
93;Queiroz Galvao oleo e Gas S.A;928;
455;Queiroz Galvao oleo e Gas S.A   SS20 Olinda Star;758;
161;Queiroz Galvao oleo e Gas S.A - SS 39;1207;
488;Queiroz Galvao oleo e Gas S.A  SS73 GOLD STAR;693;
160;Queiroz Galvao oleo e Gas S.A Base;186;
535;Queiroz Galvao oleo e Gas S.A Base Macaé;36;
531;Queiroz Galvao oleo e Gas S.A BASE MCE;1;
534;Queiroz Galvao oleo e Gas S.A Base Rio das Ostras;208;
162;Queiroz Galvao oleo e Gas S.A SS 45;782;
529;Queiroz Galvao oleo e Gas S.A SS-79 Lonestar;363;
551;Queiroz Galvao oleo e Gas S.A SS-83 ALPHA STAR;266;
460;R.P.Filho Serviços Hidraulicos LTDA;24;
633;Recigases Ambiental de Refrigeração Ltda;0;
492;Recuperadora de Tamb. Penafiel - 4º Via Entregue;0;
68;Recuperadora de Tamb. Penafiel Ltda;0;
414;Refrigeraçao Sudeste Ltda;0;
108;Remac Retifica Macae Ltda;1;
291;Remaq Industria Comercio e Representações LTDA;408;
548;Resipetrol LTDA.;0;
630;Rodoviario Costa Pozelli LTDA;0;
631;RRC Robotica Submarina S.A.;14;
59;S/A Paulista de Const. e Comercio;0;
65;SÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â¿tio Ilhota;0;
403;San Antonio Internacional Do Brasil Serv.Pet. LTDA;261;
112;Santmac Manutençoes Tecnicas - Tecm;353;
24;SBM do Brasil Ltda;804;
235;SBM do Brasil Ltda - Espadarte;871;
26;SBM Operaçoes S/C Ltda;1498;
25;SBM Serviços Ltda;1018;
27;Schahin Engenharia Ltda;1324;
608;Schahin Engenharia Ltda - Cerrado;150;
212;Schahin Engenharia Ltda - Marfood;7;
211;Schahin Engenharia Ltda - NS09 Sclancer;451;
532;Schahin Engenharia Ltda - Pantanal;319;
583;Schahin Engenharia Ltda - Vitoria;210;
554;Schahin Engenharia Ltda. - Amazonia;259;
627;Schahin Engenharia Ltda. - Sertão;56;
383;Schlumberger S. Petroleo LTDA;25;
384;Schlumberger S. Petroleo LTDA- Base Teleporto;5;
284;Schulumberger Serv. de Pet. Ltda - A.L.;11;
279;Schulumberger Serv. de Pet. Ltda - D&M;151;
216;Schulumberger Serv. de Pet. Ltda - W & T;181;
244;Schulumberger Serv. de Pet. Ltda - W.S;191;
447;Seadrill Serviços de Petroleo LTDA;4;
448;Seadrill Seviços de Petroleo LTDA   SS68;4;
271;Sealion do Brasil Navegaçao Ltda;0;
408;Sealion do Brasil Navegaçao Ltda  Sealion Amazonia;14;
416;Sealion do Brasil Navegaçao Ltda  Toisa Conquero;23;
410;Sealion do Brasil Navegaçao Ltda - Toisa Sentine;45;
417;Sealion do Brasil Navegaçao Ltda  Toisa Tiger;13;
418;Sealion do Brasil Navegaçao Ltda  Toisa Voyager;41;
409;Sealion do Brasil Navegaçao Ltda - Toisa Voyager;3;
70;Serviços em Containeres Contil Ltda;46;
126;Sistac Sistema de Acesso Ltda;2;
46;Sparrows BSM Engenharia Ltda;730;
28;Stolt Offshore S/A - Base;692;
165;Stolt Offshore S/A - Seco;1;
166;Stolt Offshore S/A - Seha;6;
276;Subsea 7 do Brasil Serv. Ltda - S. Amazonia;9;
283;Subsea7 do Brasil Serv. Ltda;602;
72;Subsea7 do Brasil Serv. Ltda - BASE;694;
561;Subsea7 do Brasil Serv. Ltda - Base RO;321;
204;Subsea7 do Brasil Serv. Ltda - K 2000;413;
203;Subsea7 do Brasil Serv. Ltda - K 3000;2037;
202;Subsea7 do Brasil Serv. Ltda - Lochnagar;915;
497;Subsea7 do Brasil Serv. Ltda - Lote Lagomar;1;
435;Subsea7 do Brasil Serv. Ltda - Normand Seven;466;
353;Subsea7 do Brasil Serv. Ltda - RSV SALGUEIRO;1;
209;Subsea7 do Brasil Serv. Ltda - SS 57 Pride Brazil;3;
210;Subsea7 do Brasil Serv. Ltda -SS 55;1;
602;Suga Tudo Limpezas Industriais LTDA.;0;
479;Superior Energy Serv. de Petroleo do Brasil LTDA;231;
584;SUPLLY OIL E GAS LTDA;0;
60;Suzaquim Industrias Quimicas Ltda;0;
207;Tamco Lubrificantes Ltda;0;
54;Tasa Lubrificantes Ltda;0;
471;Tasa Lubrificantes Ltda - 4ºvia Entregue;0;
294;Techint S.A;567;
374;Technip Brasil - Eng., Inst.  Ap. S.A Sunrise 2000;937;
495;Technip Brasil - Eng., Inst. Apo.Mar Normand Seven;2;
486;Technip Brasil - Eng., Inst. e Apo Mrí S. DECO;50;
373;Technip Brasil - Eng., Inst. e Apoio Maritimo S.A;374;
