ID_Empresa;RazaoSocial;CNPJ
449;"Noble do Brasil S/C Ltda - Dave Beard";40330078000199
141;"Noble do Brasil S/C Ltda - NS 15";NULL
142;"Noble do Brasil S/C Ltda - NS 17";NULL
143;"Noble do Brasil S/C Ltda - NS 18";NULL
591;"Noble do Brasil S/C Ltda - Oil State";40330078000199
144;"Noble do Brasil S/C Ltda - SS 53";NULL
317;"Noble do Brasil S/C Ltda - SS 55";NULL
380;"Noble do Brasil S/C Ltda - SS 62";40330078000199
281;"Noble do Brasil S/C Ltda - SS 62";NULL
438;"Noble do Brasil S/C Ltda - SS 63";NULL
483;"Noble do Brasil S/C Ltda - SS 71";NULL
413;"Nort-Tec Comercio e Industria Ltda Me";28977031000116
109;"Nutec MacaeTrein. em Seg. Maritima Ltda";07070955000164
542;"Nutec MacaeTrein. em Seg. MaritLtda Base Mar Norte";07070955000164
484;"ODEBRECHT ÓLEO E GÁS LTDA";080911020002-52
611;"Odebrecht Oleo e Gas S.A. - Delba III";08091102/000333
539;"Odebrecht Oleo e Gas S.A. - Norbe IX";08091102/000333
540;"Odebrecht Oleo e Gas S.A. - Norbe VI";08091102000333
541;"Odebrecht Oleo e Gas S.A. - Norbe VIII";08091102/000333
622;"Odebrecht Oleo e Gas S.A. - ODN4";08091102/000333
601;"Odebrecht Oleo e Gas S.A. - Perfuração";08091102/000333
494;"Odebrecht Oleo e Gas SA";08091102000252
45;"Pan Marine do Brasil Ltda";42519082000125
426;"Pan Marine do Brasil Ltda  Majestic Tide";42519082000125
425;"Pan Marine do Brasil Ltda  Oil Dirt";42519082000125
299;"Pan Marine do Brasil Ltda -  Navio";42519082000125
366;"Pan Marine do Brasil Ltda - Adam Tide";42519082000125
303;"Pan Marine do Brasil Ltda - CARLINE TIDE";42519082000125
312;"Pan Marine do Brasil Ltda - Chesapeake Sh";42519082000125
311;"Pan Marine do Brasil Ltda - Collins Tide";42519082000125
345;"Pan Marine do Brasil Ltda - Cruz Tide";42519082000125
309;"Pan Marine do Brasil Ltda - Cumbria Service";42519082000125
347;"Pan Marine do Brasil Ltda - Danko Tide";42519082000125
349;"Pan Marine do Brasil Ltda - Danko Tide";42519082000125
334;"Pan Marine do Brasil Ltda - Freyoux Tide";42519082000125
304;"Pan Marine do Brasil Ltda - GALLUSTURM";42519082000125
313;"Pan Marine do Brasil Ltda - Guard Tide";42519082000125
360;"Pan Marine do Brasil Ltda - Herdentor";42519082000125
367;"Pan Marine do Brasil Ltda - Hinghlands Tide";42519082000125
310;"Pan Marine do Brasil Ltda - Huntetor";"Pan Marine do B"
305;"Pan Marine do Brasil Ltda - John P Laborde";42519082000125
306;"Pan Marine do Brasil Ltda - Marion Tide";42519082000125
330;"Pan Marine do Brasil Ltda - Mercutiob DÃ?Â?Ã?Â¡Ã?Â";42519082000125
323;"Pan Marine do Brasil Ltda - Milan Tide";42519082000125
307;"Pan Marine do Brasil Ltda - Oil Onyx";42519082000125
325;"Pan Marine do Brasil Ltda - Oil Provider";42519082000125
344;"Pan Marine do Brasil Ltda - Oil Tracer";42519082000125
308;"Pan Marine do Brasil Ltda - Oil Trader";42519082000125
333;"Pan Marine do Brasil Ltda - Oil Vibrant";42519082000125
324;"Pan Marine do Brasil Ltda - Pardee Tide";42519082000125
331;"Pan Marine do Brasil Ltda - Richard M. Currence";42519082000125
421;"Pan Marine do Brasil Ltda - Richard M.Currence";42519082000125
420;"Pan Marine do Brasil Ltda - Selabord";42519082000125
401;"Pan Marine do Brasil Ltda - Werdertor";42519082000125
404;"Pan Marine do Brasil Ltda - Willian CoÃ?Â´Ã?Â­Mall";42519082000125
321;"Pan Marine do Brasil Ltda-Leroy Tide";42519082000125
322;"Pan Marine do Brasil Ltda-Mire Tide";42519082000125
123;"Parque de Material BÃ?Â©lico";NULL
246;"Parque de Material BÃ?Â©lico";NULL
536;"PCP Eng. e Montagens Ind. LTDA.";31.472.558/0001
67;"Perenyi Serviços Tecnicos de Limpeza Ind. Ltda";NULL
119;"Petrobras S/A";NULL
114;"Petroleo Brasileiro S/A";NULL
635;"Petrolub Ind. de Lubrif. Ltda - (4ªvia  entregue)";NULL
69;"Petrolub Industrial de Lubrificante Ltda";NULL
19;"Petrometal Engenharia Ltda";36292449000118
20;"Petroserv S.A.";30508345000200
445;"Petroserv S.A. -  Atlantic Zephyr";30508345000200
55;"Plastimassa Industria e Comercio Ltda";NULL
77;"Power Well Brasil Serv. Testes Geol. Ltda";06134590000202
280;"Pq Mat Bel ( * Encontra-se em Transito)";NULL
